"District","Member"
"Massachusetts 4","Jake Auchincloss"
"Massachusetts 5","Katherine Clark"
"Massachusetts 6","Seth Moulton"
"Massachusetts 7","Ayanna Pressley"
"Massachusetts 8","Stephen F. Lynch"
"Massachusetts 9","Bill Keating"
"Michigan 1","Jack Bergman"
"Michigan 2","Bill Huizenga"
"Michigan 3","Peter Meijer"
"Michigan 4","John Moolenaar"
"Michigan 5","Dan Kildee"
"Michigan 6","Fred Upton"
"Michigan 7","Tim Walberg"
"Michigan 8","Elissa Slotkin"
"Michigan 9","Andy Levin"
"Michigan 10","Lisa McClain"
"Michigan 11","Haley Stevens"
"Michigan 12","Debbie Dingell"
"Michigan 13","Rashida Tlaib"
"Michigan 14","Brenda Lawrence"
"Minnesota 1","Jim Hagedorn"
"Minnesota 2","Angie Craig"
"Minnesota 3","Dean Phillips"
"Minnesota 4","Betty McCollum"
"Minnesota 5","Ilhan Omar"
"Minnesota 6","Tom Emmer"
"Minnesota 7","Michelle Fischbach"
"Minnesota 8","Pete Stauber"
"Mississippi 1","Trent Kelly"
"Mississippi 2","Bennie Thompson"
"Mississippi 3","Michael Guest"
"Mississippi 4","Steven Palazzo"
"Missouri 1","Cori Bush"
"Missouri 2","Ann Wagner"
"Missouri 3","Blaine Luetkemeyer"
"Missouri 4","Vicky Hartzler"
"Missouri 5","Emanuel Cleaver"
"Missouri 6","Sam Graves"
"Missouri 7","Billy Long"
"Missouri 8","Jason Smith"
"Montana at-large","Matt Rosendale"
"Nebraska 1","Jeff Fortenberry"
"Nebraska 2","Don Bacon"
"Nebraska 3","Adrian Smith"
"Nevada 1","Dina Titus"
"Nevada 2","Mark Amodei"
"Nevada 3","Susie Lee"
"Nevada 4","Steven Horsford"
"New Hampshire 1","Chris Pappas"
"New Hampshire 2","Ann McLane Kuster"
"New Jersey 1","Donald Norcross"
"New Jersey 2","Jeff Van Drew"
"New Jersey 3","Andy Kim"
"New Jersey 4","Chris Smith"
"New Jersey 5","Josh Gottheimer"
"New Jersey 6","Frank Pallone"
"New Jersey 7","Tom Malinowski"
"New Jersey 8","Albio Sires"
"New Jersey 9","Bill Pascrell"
"New Jersey 10","Donald Payne Jr."
"New Jersey 11","Mikie Sherrill"
"New Jersey 12","Bonnie Watson Coleman"
"New Mexico 1","Deb Haaland"
"New Mexico 2","Yvette Herrell"
"New Mexico 3","Teresa Leger Fernandez"
"New York 1","Lee Zeldin"
"New York 2","Andrew Garbarino"
"New York 3","Thomas Suozzi"
"New York 4","Kathleen Rice"
"New York 5","Gregory Meeks"
"New York 6","Grace Meng"
"New York 7","Nydia Velázquez"
"New York 8","Hakeem Jeffries"
"New York 9","Yvette Clarke"
"New York 10","Jerry Nadler"
"New York 11","Nicole Malliotakis"
"New York 12","Carolyn Maloney"
"New York 13","Adriano Espaillat"
"New York 14","Alexandria Ocasio-Cortez"
